waktu,DAIHATSU,HONDA,MITSUBISHI,SUZUKI,TOYOTA
6/1/2016,16728,18224,5536,6633,31366
7/1/2016,10689,8446,4449,5040,24604
8/1/2016,16800,15772,6646,6453,38662
9/1/2016,16557,14864,7416,6595,36919
10/1/2016,19558,15981,6709,7200,34043
11/1/2016,20107,15324,6601,8568,40455
12/1/2016,16462,13244,6061,9411,31840
1/1/2017,15826,16659,7982,7119,32110
2/1/2017,17755,16071,9069,8067,35724
3/1/2017,16148,19339,8868,9213,38309
4/1/2017,15535,14546,8039,10150,33099
5/1/2017,15612,16419,11217,9204,32592
6/1/2017,13409,8677,7859,7994,21811
7/1/2017,14618,12474,8345,10126,31476
8/1/2017,15821,17470,9185,10031,34412
9/1/2017,15507,14897,10934,9124,27057
10/1/2017,16760,16849,11831,9589,29820
11/1/2017,16360,15577,15291,11005,28642
12/1/2017,13028,15236,12775,10008,23566
1/1/2018,18788,13572,17753,11511,25405
2/1/2018,15660,11894,18411,11115,27665
3/1/2018,17159,10792,19152,9729,31424
4/1/2018,18869,17016,17863,8505,29360
5/1/2018,17733,14324,16967,12555,28950
6/1/2018,6720,9096,9976,7515,18642
7/1/2018,17964,15226,19341,10503,34984
8/1/2018,17510,14862,17139,10764,31149
9/1/2018,17110,10960,16156,8880,29821
10/1/2018,21026,15489,15223,8514,36119
11/1/2018,17910,15845,13883,10107,31981
12/1/2018,16289,13087,12470,8316,26661
1/1/2019,14769,10064,16383,8271,25081
2/1/2019,16305,10637,14620,8307,23443
3/1/2019,19625,8144,16121,6291,28732
4/1/2019,16126,11631,10076,7677,29408
5/1/2019,14178,11048,11761,8775,29103
6/1/2019,6020,7563,11968,7236,18541
7/1/2019,13013,13894,14600,8172,29362
8/1/2019,15415,11909,14240,8622,28929
9/1/2019,17537,12431,12712,8118,31831
10/1/2019,17530,14503,13983,8721,30944
11/1/2019,15911,13210,11974,10077,28970
12/1/2019,10855,12305,13327,10116,27453
1/1/2020,14173,12777,12295,10512,24119
2/1/2020,15778,11373,10903,8613,25053
3/1/2020,18162,12068,10359,5085,26191
4/1/2020,1330,1183,1113,1042,2053
5/1/2020,0,101,919,779,695
6/1/2020,331,1267,2404,2755,3705
7/1/2020,1553,2016,4690,6369,7224
8/1/2020,6651,3047,4867,3501,8673
9/1/2020,11204,5856,6630,6246,13150
10/1/2020,8289,7732,7118,5143,16345
11/1/2020,6772,8448,8743,8217,15361
12/1/2020,6481,7447,9224,7868,18687
1/1/2021,8993,7231,9108,6400,15474
2/1/2021,9412,6812,7567,4600,14645
3/1/2021,16770,11350,13088,8669,26034
4/1/2021,15861,8474,13820,8100,22618
5/1/2021,8310,5832,10160,5341,17361
6/1/2021,15481,8782,8277,8965,22310
7/1/2021,9284,9030,13453,6274,20950
8/1/2021,14408,7337,13720,10021,28418
9/1/2021,17529,3453,12200,7515,32596
10/1/2021,17020,5861,13109,7624,20633
11/1/2021,16045,7201,11410,8512,32487
12/1/2021,15795,9759,18211,9772,31865
1/1/2022,17660,10883,14586,7017,22493
2/1/2022,14638,11407,12323,6750,24087
3/1/2022,16969,12975,13299,8604,32408
4/1/2022,15533,10149,12340,5801,27284
5/1/2022,6981,8114,6729,6026,12984
6/1/2022,16764,9057,7890,7215,26838
7/1/2022,15673,9599,11756,7467,28829
8/1/2022,15282,11427,13808,8064,30103
9/1/2022,18472,13374,9461,7651,32760
10/1/2022,17089,9962,9188,7663,33153
11/1/2022,20496,11691,10704,8160,25670
12/1/2022,23165,12642,14654,9990,26935
1/1/2023,12684,15287,9831,5768,26696
2/1/2023,10970,13903,8513,6197,24911
3/1/2023,13637,15993,9174,7512,25678
4/1/2023,7596,4673,6216,4363,18134
5/1/2023,10712,10580,6364,5402,22004
6/1/2023,10917,11080,6200,7227,20326
7/1/2023,8611,10160,6539,5139,23954
8/1/2023,9568,10916,8243,5980,25088
9/1/2023,8594,10588,7036,5860,21017
10/1/2023,8208,11307,6690,5502,21298
11/1/2023,7466,10307,6600,6602,24622
1/1/2024,7348.196,3222.119,5076.613,3242,10366.353
2/1/2024,6021.329,3829.318,4349.666,2999,10770.845
3/1/2024,6591.92,5212.549,4708.298,3503,12301.583
4/1/2024,7510.349,3435,4898,2555,9116.144
5/1/2024,9336.778,5055,5522.211,2736,9445.956
6/1/2024,7717.478,2875.069,4931.16,2198,10798.472
7/1/2024,7908.271,3703.054,5335.011,2557,13457.905
8/1/2024,7984.985,3574.084,6498,2582,11031.562
9/1/2024,7941.067,4418,6685,2677,9911.21
10/1/2024,7210.293,4317.616,6064,2773,10008.012
11/1/2024,7145.146,2824.359,6494,2943,11404.092
12/1/2024,7222.224,1831.878,5499.339,3820,11571.896
1/1/2025,5755.232,3932.347,5916.224,3370.613,14236.853
2/1/2025,7126.837,3758.004,7707.092,3047.704,16225.18
3/1/2025,6371.692,2382.924,7380,3223.22,13711.773
4/1/2025,6075.811,1590.411,5197,2767.379,13779.3
5/1/2025,7537.632,3148,5897,2004.813,9313.266
6/1/2025,5992.367,2360.797,6501,3499.336,8712.383
7/1/2025,6354.101,4171.007,6121,2666.235,7617.122
